star,review
4.5,"룸이나 전경 다 맘에 들었습니다. 다만 룸서비스로 미역국정식을 시켰고 그 후 30분뒤에 추가주문하려고 하자, 직전 주문이 아예 누락이 되어있었고 급히 음식이 온듯했으나 미역국이 소금을 왕창 넣은듯 너무짜서 물을 많이 넣어 먹었네요. 기다리는게 더 싫어서 그냥 물넣어 먹었지만 이 돈주고 미역국정식(25,000원)은 안먹을것같아요. 그외는 만족했습니다"
4.5,침구 너무 좋고 서비스도 좋았습니다 :) 다만 한파주의보여서 16일 밤 너무너무너무 추웠어요.. 미리 일기예보 보고 내부적으로 히터라던지 조치를 취했으면 하는 바램이 있었네요. 그치만 잘 묵고 가요 또 이용할게요
5,"다른 요청사항때문에 체크인시 기념일이란걸 말하게 됐는데 음료쿠폰과 레이트체크인을 해주셨어요. 직원분의 센스로 기분좋게 기념일 파티를 시작했습니다. 침구, 주차, 방음, 편의시설의 접근성 등 모든것이 만족스러웠고 체크아웃을 하며 잘 쉬었다~라는 생각이 들었습니다!"
3.3,"침구류 푹신하고 괜찮았습니다. 컨시어지가 실망스러운 호텔은 처음이었구요, 거실은 옆 복도창에서 보여서 불만족스러웠습니다. 직원들 서비스가 전반적으로 타 특급호텔에 비해 미흡한 느낌이었습니다. 주차요원부터 시작해서... 더불어 방에는 공기청정기를 빌려주는게 아니라 모든방에 구비되어 있어야 할 듯 합니다."
4,고층에 넷플릭스 되는 방은 한강뷰밖에 없고 특정층에 있어서 남산뷰로 배정받았다고 넷플릭스 보려고 그 방으로 바꿨어요! 전체적으로 깔끔하고 침구나 소파도 편안했습니다 ㅎㅎ 다만 한강뷰는 한강이 멀리 보이고 앞에 공사장같이 보이니 조심하시고 남산뷰는 멀리 남산타워 보여서 밤에 예쁠거같아요 ~ 조식이 맛있어서 꼭 조식 추천드리고 칫솔은 없으니 챙겨가세요! 주변에는 아이파크몰빼고는 사실 할게 별로 없어서ㅠ 바로 옆 이비스 루프탑바 킹스베케이션 추천합니다! 주변에 할거 많고 도심속에있는건 아니지만 호캉스로 괜찮았어요~
3.5,"조식 가장 피크 타임에 음식은 다 비워져 있고, 채워 지지는 않고, 주말 객실 사용하는 사람 대비 직원 수가 현저히 적었습니다"
3.8,"장점 1. 주차장이 크고 대기가 없었고 깨끗했다. 2. 직원분들이 친절하고 안내를 잘해주셨다. 3. 용산역과 아이파크몰이 연결되어 있다. 4. 방의 창이 크고 남산뷰방의 뷰가 좋았다. 5. 커피머신캡슐 2개 중에 하나는 디카페인이 있다. 6. 침구가 편하다. 단점 1. 화장실에서 담배냄새가 난다. 2. 침구에서 진득이같이 생긴 벌레가 두마리 나왔다. 3. 머리카락과 꼬털이 있고 구석에 먼지가 굴러다녔다. 총평 주변 다양한 구경거리(몰,용리단길)와 다양한 식당이 있다. 호텔안에 이용할 수 있는 것이 많고 편의점, 오락실, 카페 등등 좋았고 뷰가 잘 보이는 큰 창에서 야경을 감상할 수 있었으나 청소를 구석 구석 청결이 하였으면 좋겠다. 그리고 방음이 좀 약한 편이다."
3.5,"전체적으로 나쁘지 않았는데, 다만 커튼에 질질 끌려서 쓰레기가 나오고 어메니티로 제공된 바디로션은 뚜껑과 로션 통에 연결되어 붙어있던 스티커가 중간에 뜯긴 채 있더라구요. 그 부분만 빼면 깔끔하고 좋았어요. 체크인 할 때 한강뷰랑 시티뷰 중에 고를 수 있었는데 한강뷰는 공사장뷰라고 해서 시티뷰를 골랐는데 낮은 층수라고 해서 높은 층수인 한강뷰를 골랐는데 나름 만족했어요! 호텔에 편의점도 있고 용산역과 이어져서 아이파크몰에서 먹을 것들 사오거나 배달시켜서 편히 먹을 수 있어서 좋았어요!! 다음에도 기회가 된다면 또 가고 싶어요!!!"
4.5,"변기커버에 오줌이 튀긴건지 자국이 그대로고, 침구류 얼룩에..직원 분들이 너무 친절하셔서 좋았습니다"
4.5,자주 애용하는 곳이라 다 좋은데 늘 식당들이 9시쯤가면 너무 싫어하는 내색을 내서 좀 맘이 상해요.ㅜ ㅜ
4.8,마주치는 직원분들 모두 친절하셨고 서비스도 좋았어요. 체크아웃할 때 여자친구가 마스크를 깜빡하고 놓고 왔는데 프런트에서 하나 다시 받을 수도 있었습니다. 다음에 또 와야겠어요~~
5,두번째 이용이었는데 이번엔 휴일이어서 그런지 사람이 너무 많고 조금 많이 어수선했습니다 옆객실에서 떠드는 소리가 많이 들리더라구요
5,스위트엘리베이터는 좀 안쪽에 있어서 헷갈릴수 있는데 내부시설이랑 룸은 전체적으로 깨끗하고 너무도 좋은 하루를 보낼수 있는 좋은 호텔입니다~ 완전 강추!!
5,요청사항도 엄청 친절하게 처리해주셨고 고층으로 배정받았더니 뷰도 장난아니었습니다. 취사시설도 있어서 저녁에 간단하게 와인 한잔 하기고 엄청 좋았습니다. 담에 또 가려구요!
4.8,"침구 푹신해서 너무 좋고, 청결상태도 좋고, 무엇보다 체크인 도와주신 직원분과 여럿 룸 서비스 요청시에도 친절했던 점이 제일 좋았어요~! (아주 전망좋은 룸 배정 너무 감사했어요:-)) 다음에 또 다시 가고싶네요 그땐 2박을^.^"
5,"일단 미리 도착한 덕분에 고층을 배정받고, 시티뷰까지 좋았네요:) 침구도 킹사이즈라 넉넉해서 편했구 전체적으로 깨끗했어요! 대신 드라이기나 어메니티 퀄리티가 조금 부실한 느낌이라,,, 그건 좀 아쉬웠네요 ㅠㅠ 그래도 전체적으로 만족했습니다!"
5,"26층 로비에서 대기 없이 바로 체크인 했습니다. 평일이라 여유로웠던 것 같아요. 남산타워뷰 선택해서 잔여객실 중 가장 높은층으로 배정해주셨구요. 방 들어가자마자 넓찍하고 깨끗하니 너무 좋았습니다. 싱크대랑 전자렌지 있는거 넘 좋았어요, 몇박 묵고싶게.. 창밖 뷰도 야경과 일출시간 둘다 예뻤고, 무엇보다 침구가 너무 폭신하고 포근해서 바깥 돌아다니려고 했는데 동생이랑 둘이서 낮잠을 엄청나게 잤네요ㅋ 조식은 피크시간(7:30~) 피해서 6시40분쯤 갔더니 자리 많아서 대기없이 바로 먹을 수 있었어요. 제가 간날은 팬케이크 옆에 메이플시럽과 간장이 바껴있어서(빵에 뿌릴때 간장냄새 안나서 몰랐음) 간장 뿌린 팬케이크를 먹다 뱉었지만ㅋㅋㅋ 바로 시정해주셨어요. 다음엔 2박 이상 묵고싶네요."
4.8,"가성비 최고의 호텔! 극성수기라 평소보다는 조금 더 주고 다녀왔으나 스위트룸 치고는 굉장히 가성비가 좋았습니다 시티뷰가 다 빠져서 리버뷰로 갔지만, 낮보다 밤에 너무 아름다웠고 (철교?가 반짝거려서 예뻤음) 기대안했던 조식도 너무 맛도 퀄리티도 괜찮았으며, 직원분들 세상 친절하십니다^^ 기분 좋은 호캉스 보내고 와서 조만간 시티뷰로 다시 한번 방문 예정입니다:)"
5,성수기라 그런지 체크인하는 데 무려 1시간이나 걸렸어요. 이러면 체크아웃 시간도 1시간 늘려주셔야 하는 건 아닌지... 그리고 엘리베이터도 사람들이 너무 많아서 코로나 전염될까봐 무서웠어요. 다음에는 이런 부분들도 시스템으로 관리를 해주면 좋겠습니다.
5,체크인 후 저녁시간이 되어가는데 너무 맘에 들어 1박 연장한 케이스입니다 체크인시 26층 로비 에서 따로 했는데 특별히 오래 걸릴만한 게 없어보였거든요 노보텔 1층도 우르르 체크인 하지만 오래 안걸리는데 26층 스위트체크인은 너무 오래 걸렸어요ㅠ 인력부족인가봐요 시티뷰 걸렸으면 하고 따로 요청 드리지 않았는데 한강뷰 맘에 들었습니다 다만 낼 연박 연장후 갑자기 여자분들 파티하는지 우르르 몰려와서 밤새 떠들고 스피커로 음악 키고 연장 괜히 했나 했습니다...새벽내내 너무 시끄러웠어요 방음이 좀 안되는 느낌이에요 옆방 운이 좋아야합니다ㅜㅜ 하지만 모든게 맘에 들어서 담날까지 편히 잘 지냈어요 재방문의사 있습니다:)
5,"일단 방안에 작은싱크대와 전자레인지가 있어서 편하게 이용했어요. 전자레인지는 정말 신의한수, 항상 어디숙소에가도 아쉬웠거든요. 전체적으로 깨끗하고 남산뷰도, 시티뷰야경도 좋았습니다. 36시간 스테이라 여유있게 외출도하고 근처용산도 여기저기 들리며 많이 즐기고 특히 아이파크몰이랑 드래곤시티가 통로로 연결되어있어서 5분정도면 걸어서 왔다갔다 할수있어요. 직원들도 체크인, 체크아웃시 세심하게 챙겨주어서 조금이라도 빨리 처리되도록해주고 , 1층 메가바이트에 빙수먹으러갔었는데 거기 직원들도 엄청 친절했습니다. 코로나라 수영장, 피트니스센테에 못온게 너무 아쉽웠지만 꼭 다시 묵으러 오고싶은 노보텔이였어요."
5,"6개월 아기데리고 간 호캉스였는데 아기를 위해서 방도 안쪽으로 바꿔주시고, 정말 친절히 하나부터 열까지 다 배려해주셨어요, 방 상태도 너무나 청결했고, 야경도 좋았고! 아기도 좋았는지 늦잠도자고 푹 잘 놀다왔습니다!!"
5,"수영장은 코로나 무서워서 못갔지만 욕조에 물받아서 거품 목욕만 해도 좋아라하는 아이를 보며 저도 넘 기분이 좋았습니다! 용산역사에서 먹을거 사와서 식사 해결하기도 좋았고, 침실과 거실이 분리되어 각자 보고픈 TV 보면 몸도 마음도 편하게 쉬는 진정한 호캉스를 누리고 왔습니다. 벌써 또 가고싶네요^^"
5,두번째 방문인데 역시 너무 만족스러웠습니다 접근성도 좋고 룸컨디션도 좋고 편의점도 호텔내에 있어서 너무 편리했어요 무엇보다 뷰가 엄청납니다 ㅎㅎ 코로나 피해서 프라이빗하게 호캉스하기엔 아주 딱입니다 ㅎㅎ
5,용산역에서 도보로 접근하기도 너무 좋고 시티와 리버가 같이 보이는 뷰도 환상이고 룸서비스도 매우 훌륭했습니다. 부대내 24시 편의점 및 다양한 부대시설있어 더욱더 편안한 호캉스였습니다. 이 패키지로 재 방문 의사 있어요.
4.8,"위치가 좋아서 자주 찾아요. 그래서 데일리호텔 36h 패키지 자주 이용하구요. 저번에 갔을때부터 자꾸 크고 작은 문제들이 있어서 이번에는 노보텔-> 노보텔스위트 로 예약 했어요. 그래서 체크인 전날 전화 드려서 저번에 옷장도 망가져 있어서 시설팀 오셔서 20분 내내 고치셨고 카드키에서 시간 빼 버리셔서 직원 올라오고, 카드 키 바꾸는데 또 시간뺏기고 그래서 신경 좀 써 달라고 말씀 드렸는데 이번에는 화장실 비데 고장나서 또 밤에 직원 왔다 가시고 체크 아웃 하고 나오는데 주차 정산 안해놓셔서 또 불편하고 흐음… 계속 이런 작은 문제들이 있다면 안가고 싶을거 같아요…"
5,호캉스하면서 얼음 요청등 여러번 서비스 요청했는데 그때마다 너무 친절하게 응대해주셔서 기분이 좋았습니다!! 와인오프너가 문제있어서 와인이 제대로 안따지는 바람에 와인오픈도 부탁드렸더니 친절하게 해주셨어요!ㅠㅠ감사합니다 덕분에 친구들과 좋은 시간 보냈네요 >_< 다만 체크인시에는 조금 불편했습니다 객실배정의 순서가 어떻게 되는지 모르겠는데 별도로 말하지 않는한 저층부터 주시는건지..ㅎ 고층으로 달라고 별로도 말해야했고 뷰선택도 별도로 말씀드려서 했네요 코로나가 빨리 해결되어 26층 체크인으로 바뀌었으면 좋겠습니다~
5,접근성도 너무 좋고 룸컨디션이며 시설 다 너무 만족했어요!! 남자친구랑 나중에 꼭 다시 오기로 했어요 ㅎㅎ 그때 장기로 잡고 지내게 될 것 같아요 ㅎㅎ 무엇보다 뷰가 너무 좋아서 그냥 가만히 멍 때리고 있어도 좋더라구요ㅠㅠ 전체적으로 너무 마음에 들었습니다!!! ㅎㅎ 꼭꼭 가세요!!!
5,"전체적으로 깔끔, 가격은 비싸지만 먹을만한 조식,사람들이 많아도 친절한 직원분들 , 대체로 만족 다만 주말에 체크인수 상당합니다. 본래 체크인 시간에 방문하면 대기시간 40분이상 기다릴수있음"
4.3,용산 한 가운데의 위치적인 장점으로 뷰는 좋았습니다 처음에 배정 받은 룸이 시티뷰로 남산타워도 보이고 룸 구조도 좋았는데 한강뷰로 바꾸었더니 철도부지 공사장 쪽이 보여 낮엔 좀 후회되었어요 그런데 탁 트인 맛에 나쁘진 않았습니다 일회용 제품 쓰지 않는 호텔이어서 치약 칫솔 샤워볼 등은 없어요 준비해가세요 조식 룸 서비스로 미역국 정식 먹었는데 가격대비 대기업의 맛이 나서 좀 그랬네요 ㅎ 혼자 조용히 쉬고 오기엔 좋았습니다
4.3,"전반적으로 좋았습니다 다만 아무래도 연휴기간이고 성수기라서 그런지 꼼꼼하게 청소되어 있지는 않은듯 했어요 침구류는 깔끔하고 좋았는데 화장실 욕실에 수건, 핸드타올, 발매트가 비치가 안 되어 있었고 사용한 면봉이 욕조 위에 그대로 올려져 있었어요 창문도 청소 안한지 좀 되었는지 많이 뿌얘져있어서 뷰가 좀 아쉬운 것도 있었습니다 그래도 응대 친절하게 해주시고 말씀드린 것들 바로 바로 해주셔서 좋았어요 푹 잘 쉬다 왔습니다 :)"
4.3,예약이 안되있다고해서 대기를 했습니다 데일리사이트문제인지 호텔문제인지 모르겠네요 싱글2베드로 예약했는데 더블베드배정받아 방바꾸는 번거로움이 있었습니다 직원분들은 대체로 친절하여 잘넘겼습니다 조식포함 상품 어린이무료는 너무좋았는데 조식이 생각보다 맛나진 않았고 너무평범한 메뉴뿐이었습니다. 스카이킹덤 킹스베이션에는 사람이 없어서 맘놓고 사진찍었네요 아이파크몰까지 걷기는 좀 더웠지만 거기서 쇼핑하느라 시간을 많이보냈어요 룸컨디션 아주좋았구 세탁기있어서 빨래도 가능했어요 시간없어서 수영장이용못해서 좀아쉬웠음
4,"전체적으로 깨끗하고 좋았지만 가운에 이물질 묻어있었구요, 손톱파일을 뜯었는데 사용하던거 다시 넣어놓은듯한 느낌이었어요.. 그러고나니 침구는 매번 갈아주시겠지? 라는 의문이 생겼었네요 조식도 좋았고 다른건 다 좋았어요~"
2.8,"고질적으로 오래 걸리는 체크인 대기 시간, 체크인 시 시설과 정책 숙지가 안되서 서로 물어보는 직원들, 넷플릭스 룸으로 드려도 좋냐고 먼저 물어보고 좋다고 답했더니 검색하더니 죄송하지만 해당 룸이 없다고 답하는 이상한 대화, 수영장이 전화 예약도 안되서 매시간 선착순으로 줄서서 들어가야 하는 후진적 시스템, 투숙객이 셋인데 룸에 수건이 3개 뿐이라 좀 더 달라고 했더니 한손으로 핸드폰 하면서 수건 전달해주는 룸서비스, 욕조도 아기용 가운도 없는 전혀 가족친화적이지 않은 시설, 조식 입장 시 아기용 작은 체온계 정도는 마련했으면.. 안아서 아기 손을 어른용 체온계에 재달라고 지시하는 직원, 옆을 보며 걸어와서 아기와 부딪힐뻔했는데 죄송하다는 말 한마디 안하고 지나가는 직원, 아기의자는 알아서 가져다주면서 아기 식기는 굳이 또 요청해야 가져다주는 이상한 응대 메뉴얼, 체크아웃 1시간 반 전에 룸으로 전화와서 체크아웃 시간이 언제냐고 고객에게 먼저 물어보는 이상한 프론트... 이 말도 안되는 경험이 불과 24시간도 안되 이뤄졌다니.. 한두명의 불친절이 아니라 운영 프로세스나 서비스 응대 메뉴얼, 직원 서비스 교육 차원에서 심각할 정도로 형편없어야 가능한 구조적 문제로 보인다. 많은 호텔을 다녀봤으나 5성 타이틀 호텔 중 유일..."
2.8,흠..아이가 침구를 펄럭거리니 셋다 같이 제체기를.. 침대 머리쪽엔 걸레질을 오랫동안 안하셨는지 먼지가 뽀얗게 찌들어 있더라구요.. 찜찜해서 컵이랑은 제가 다시 씻어서 사용했어요 청소만 좀 더 신경써서 해주시면 가성비 좋고 접근성 좋아서 자주 애용하고 싶네요
3.5,디럭스 스위트로 예약해서 한강뷰를 요청드렸으나 룸청소가 안되서 기다려서 올라갓더니 시티뷰를 주셔서 한단계 낮은 룸으로 이동했네요.. 근데 거기서 차액 환불이 안되고 해결방법이 없었다는게 조금 아쉬웠어요… 그거말고는 침대 상태도 좋고 잘 이용했습니다
3.8,"방이 깨끗하긴 하였으나 창틀쪽 먼지가 좀 있었고, 텔레비전이 필름이 씌워져있었는데 깔끔하게 붙어있는게 아니라서 티비 화면이 쭈글쭈글하게 보였어요. 어매니티는 일회용이 아니라서 사용하는데 약간의 찝찝함이 있었습니다. 하지만 이건 환경을 위한거라면 괜찮았어요."
5,푹쉬다 갑니다. 깨끗하고 접근성 좋아서 가끔 동생과 여유롭게 쉬고 싶을때 갑니다
5,말해뭐해요~ 최고의 호텔에서 푹 쉬다 갑니다 ! 다음에 또 올 의향 120% !!
5,결혼 1주년 결혼기념일에 호캉스하러 와서 만족하고 갑니다~#
5,좀 트러블이 있었지만 그에 대해서 굉장히 친절하게 응대해주셨습니다. 위치도 건물도 너무 좋은 곳이에요. 추천드립니다.
5,예전에는 한강뷰에서 숙박했었는데 남산뷰가 대박이네요 ㅎ 시설도 좋고 부대시설도 다 좋았습니다
5,객실 뷰가 정말 예뻤고 직원분들도 친절해서 잘 쉬고 왔어요. 욕실 컨디셔너가 채워지지 않은건 조금 아쉬웠어요ㅜ
5,뷰도 좋았구 침대도 편해서 완전 푹 잘 잤어용ㅎㅎㅎㅎ 그리구 룸서비스 음식 넘 맛있어요 :) 짱
5,침구좋아요. 조식 사람너무많아서 30기달려서 입장했어요. 스위트 엠버서더는 식당을 따로 열어주시면 어떨지 ㅠ ㅠ
4.8,전체적으로 깨끗하고 조용하고 침대도넓고편안해서 잘잤어요 전망도 좋은곳으로주셔서 야경이너무좋았어요 다음에 또가려구요^^
5,아이랑 가기 좋은 호텔 몰캉스+호캉스+맛캉스 근데 수영장은 좀 약합니다. 아이파크몰연결 씨유편의점2층 룸서비스 가격 굿 배민 맛집많음 침구류 굿
4.5,침대가 엄청 넓어요 2인용 킹 침대인데 거짓말 안 섞고 4명이서도 잘 수 있을 거 같아요 그리고 36층으로 배정받았는데 높아서 귀멍멍해지는 것도 설렜고 야경도 멋졌어요
5,"전체적으로 깔끔하고 분위기가 좋아서 잘 쉬었습니다. 다만, 넷플릭스나 스마트 티비가 되는 방이 따로 있어서 원하신다면 체크인할때 미리 말해야 할 것 같습니다."
4.5,룸 컨디션 직원 친절도는 좋아요. 다이닝이 너무 약하긴 하네요. 밥은 나가서 먹어야 할듯... 뷰는 좋을 수가 없는 위치 같아요.
5,"야경이 좋았고 방도 넓고 아주 마음에 들었어요 다만 일요일 숙박이라 수영장, 사우나 등 이용불가한 부대시설이 많아서 아쉬웠습니다"
5,시티뷰로 했는데 야경이 정말 환상이었어요 !! 정말 잘 쉬다 갈수있었습니다 !! 다음에는 조식 포함해서 예약 해보고 싶어요 !! 감사합니다 ~
4.5,네시반쯤 도착해서 체크인하는데 근 한시간반 걸렸어요 호텔 방문 인원과 객실에 비해 인력이 너무너무너무너무 부족해보입니다! 체크인 기계가 필요하던 인력 충원이 너무 절실해 보여요
5,"너무 만족스러운 숙박이였어요~ 주차장도 여유있고 직원분들도 친절하고, 무엇보다 방에 쇼파, 개인쇼파, 업무용의자 등 의자가 이렇게 많은데도 방이 넓게 느껴져서 좋았어요"
5,넘나 만족했어요! 탁트인 통창에 뷰도 너무 좋았고 어메니티 침구 청소 상태 서비스까지 모두 만족했습니다~~~~! 호캉스 즐기기에 딱 좋아요!
5,"어른 2명에, 36개월 미만 아이 2명 투숙했는데, 4명이서 충분히 잘 수 있는 베드였어요. 거실이 있으니, 애들 놀기도 좋았고, 화장실이 커서, 거기서도 놀더라구요^^ TV에 키즈랜드나 유튜브, 넷플릭스 연결되면 더 좋았을 것 같아요~"
5,어버이날 겸 생신을 기념하며 할머니와 단둘이 다녀왔어요. 고민 많이했는데 할머니와 함께할 수 있을 때 추억을 남기고 싶어서 걱정 반 설렘 반으로 방문했는데 할머니가 너무 만족하시고 기뻐하셔서 너무 좋았어요. 방도 아주 깨끗하고 넓어서 편하게 이용했어요. 침대는 세 명이서 잘 수 있을 정도로 아주 넓고 침실과 거실에 티비가 한 대씩 있어서 각자 보고 싶은 프로그램 보면서 쉴 수 있었어요. 소파와 욕조도 넓직하니 편하게 쉬고 올 수 있었어요. 룸서비스 이용했는데 맛있었어요. 다만 메뉴판 글씨가 작고 영어가 많아서 할머니께서 직접 고르시긴 어려웠어요. 어메니티도 영어로 쓰여있어서 어르신들이 편하게 사용하긴 어려운 점이 아쉬웠어요. 아침 조식도 6시 30분에 일찍 갔는데 준비가 잘 되어 있어서 조용히 잘 먹고 나왔어요. 제가 만난 모든 직원분들이 친절하시고 편안하게 대해주셔서 행복했어요. 세번째 방문인데 너무 즐거웠습니다.
5,용산이어서 접근성도 좋고 침구도 깨끗하게 잘 관리되어 있어서 푹 잘 쉬다 왔어요! 호텔 서비스도 좋지만 서울 중심이라 배달 어플로 맛집 시키기도 좋았습니다 ㅎㅎ수영장 이용하려고 했는데 금토일만 운영한다고 해서 이용 못한건 좀 아쉽네요ㅠ아쉬운대로 헬스장에서 여유있눈 시간 보냈어요 ㅎㅎ다음에 또 이용할게요
4.5,다른 건 좋았는데.. 제가 먼저 체크인하고 남친이 나중에 큰 판을 들고 들어왔는데 입구에서 좀 잡상인 취급을 받았다네요.. 투숙객이라고 했는데두 나가라는 식으로요. 방에 있는 저한테 확인을 받고서야 올려줬어요. 차라리 제일 처음에 확인을 했다면 더 좋았을 거에요.
4.5,깨끗하고 용산역이랑 이어져있어 뚜벅이들에게도 접근성이 좋아 편리했어요. 내부에 편의점도 있고 조식도 만족했지만 일요일 체크인이라 몇몇시설(수영장사우나피트니스)를 이용하지 못해서 아쉬웠어요 특히 킹스베케이션의 칵테일도 금토만 한다고하여 너무 아쉬웠어요 시티뷰 36층 고층으로 배정해주셔서 야경은 아주 만족했습니다
4.8,야경이 목적이여서 남산뷰로 받았습니다! 남산이 정면이 아니라 오른쪽 구석에 보였지만 전체적으로 뷰도 이쁘고 깔끔한 느낌이여서 좋았습니다 또 다른곳보다 방 자체가 더 넒어서 좋았습니다 방이 따뜻해서 에어컨 키려고 하는데 겨울철에는 안된다구 하더라구요 그렇지만 너무 친절하게 선풍기 가져다주셔서 만족스러운 하루였습니다:)
4.8,"다른건 다 좋았고 뷰는 첨에 남산뷰했다가, 너무 동네뷰여서 한강뷰로 바꿨는데 한강뷰가 더 좋았어요! 침대에서 누워서 보면 그 벌판도 잘 안보이고 예쁜 한강 야경만 보였음ㅎㅎ 목욕가운 중 하나에 머리카락이 있어서 청결하나 뺐는데 이부분 좀 더 신경써주세요~ 창문이 안열려서 공기청정기 요청했더니 바로 갖다 주셨어요 굿굿 쾌적하게 잘 잤습니당! 수영장 레인은 좀 작아도 저질 체력인 저에게는 왔다갔다하기 딱 좋은 길이었네요ㅎㅎ"
5,"침대가 넓어서 편안하게 잤어요. 세탁시설과 전자레인지 등이 구비가 잘 되어있고 깨끗해서 알뜰하게 사용했어요. 네스프레소 캡슐과 머신이 구비되어있는데, 차로 된 캡슐이 있어서 색다르게 먹었어요. 칫솔과 치약이 어메니티에서 빠져있어 3000원에 구매해서 사용했는데, 치약까지 없던 것은 너무하지않았나해요ㅠㅜ 요청해서 받을 수있도록 개선하면 좋을 것 같아요."
4.8,끝방이어서 그런가 뷰가 살짝 아쉬웠지만 그래도 밤에 야경이 매우 아름답습니다! 수압이 좀 약한것이 불편했습니다. 그것 빼고는 정말 완벽해요 조식도 맛있고 너무너무 행복한 시간ㅇ었습니다!
4.8,"객실도 사진과 똑같이 깨끗하고 넓고 다 좋았습니다. 근데 체크인 때 어느쪽 뷰 할지 물어본다고 하던데 제가 체크인 할때는 그냥 말 없이 알아서 해서 주시더라구요. 체크인 다됐다고 하시길래 여쭤보니 27층 한강뷰로 배정하셨다고 하길래, 남산쪽 더 높은방 요청드리니 28층 주시더라구요..ㅎㅎ 36시간 패키지라 아침에 가서 체크인했는데 너무 저층을 주셔서 기념일 때문에 간건데 좀 아쉬웠네요"
